[attack: 0] 4033.968750 ms
		[sustain_release: 25] 163.968750 ms
		[sustain_release: 26] 127.531250 ms
		[sustain_release: 27] 109.312500 ms
		[sustain_release: 28] 91.093750 ms
		[sustain_release: 29] 72.875000 ms
		[sustain_release: 30] 54.656250 ms
		[sustain_release: 31] 36.437500 ms
	[decay: 0][sustain_level: 5] 132.031250 ms
		[sustain_release: 1] 40083.562500 ms
		[sustain_release: 2] 30067.562500 ms
		[sustain_release: 3] 25059.562500 ms
		[sustain_release: 4] 20051.562500 ms
		[sustain_release: 5] 15043.562500 ms
		[sustain_release: 6] 12539.562500 ms
		[sustain_release: 7] 10035.562500 ms
		[sustain_release: 8] 7531.562500 ms
		[sustain_release: 9] 6279.562500 ms
		[sustain_release: 10] 5027.562500 ms
		[sustain_release: 11] 3775.562500 ms
		[sustain_release: 12] 3149.562500 ms
		[sustain_release: 13] 2523.562500 ms
		[sustain_release: 14] 1897.562500 ms
		[sustain_release: 15] 1584.562500 ms
		[sustain_release: 16] 1271.562500 ms
		[sustain_release: 17] 958.562500 ms
		[sustain_release: 18] 802.062500 ms
		[sustain_release: 19] 645.562500 ms
		[sustain_release: 20] 489.062500 ms
		[sustain_release: 21] 410.812500 ms
		[sustain_release: 22] 332.562500 ms
		[sustain_release: 23] 254.312500 ms
		[sustain_release: 24] 215.187500 ms
		[sustain_release: 25] 176.062500 ms
		[sustain_release: 26] 136.937500 ms
		[sustain_release: 27] 117.375000 ms
		[sustain_release: 28] 97.812500 ms
		[sustain_release: 29] 78.250000 ms
		[sustain_release: 30] 58.687500 ms
		[sustain_release: 31] 39.125000 ms
	[decay: 0][sustain_level: 6] 56.875000 ms
		[sustain_release: 1] 42452.718750 ms
		[sustain_release: 2] 31844.718750 ms
		[sustain_release: 3] 26540.718750 ms
		[sustain_release: 4] 21236.718750 ms
		[sustain_release: 5] 15932.718750 ms
		[sustain_release: 6] 13280.718750 ms
		[sustain_release: 7] 10628.718750 ms
		[sustain_release: 8] 7976.718750 ms
		[sustain_release: 9] 6650.718750 ms
		[sustain_release: 10] 5324.718750 ms
		[sustain_release: 11] 3998.718750 ms
		[sustain_release: 12] 3335.718750 ms
		[sustain_release: 13] 2672.718750 ms
		[sustain_release: 14] 2009.718750 ms
		[sustain_release: 15] 1678.218750 ms
		[sustain_release: 16] 1346.718750 ms
		[sustain_release: 17] 1015.218750 ms
		[sustain_release: 18] 849.468750 ms
		[sustain_release: 19] 683.718750 ms
		[sustain_release: 20] 517.968750 ms
		[sustain_release: 21] 435.093750 ms
		[sustain_release: 22] 352.218750 ms
		[sustain_release: 23] 269.343750 ms
		[sustain_release: 24] 227.906250 ms
		[sustain_release: 25] 186.468750 ms
		[sustain_release: 26] 145.031250 ms
		[sustain_release: 27] 124.312500 ms
		[sustain_release: 28] 103.593750 ms
		[sustain_release: 29] 82.875000 ms
		[sustain_release: 30] 62.156250 ms
		[sustain_release: 31] 41.437500 ms
	[decay: 0][sustain_level: 7] 0.000000 ms
		[sustain_release: 1] 44245.593750 ms
		[sustain_release: 2] 33189.593750 ms
		[sustain_release: 3] 27661.593750 ms
		[sustain_release: 4] 22133.593750 ms
		[sustain_release: 5] 16605.593750 ms
		[sustain_release: 6] 13841.593750 ms
		[sustain_release: 7] 11077.593750 ms
		[sustain_release: 8] 8313.593750 ms
		[sustain_release: 9] 6931.593750 ms
		[sustain_release: 10] 5549.593750 ms
		[sustain_release: 11] 4167.593750 ms
		[sustain_release: 12] 3476.593750 ms
		[sustain_release: 13] 2785.593750 ms
		[sustain_release: 14] 2094.593750 ms
		[sustain_release: 15] 1749.093750 ms
		[sustain_release: 16] 1403.593750 ms
		[sustain_release: 17] 1058.093750 ms
		[sustain_release: 18] 885.343750 ms
		[sustain_release: 19] 712.593750 ms
		[sustain_release: 20] 539.843750 ms
		[sustain_release: 21] 453.468750 ms
		[sustain_release: 22] 367.093750 ms
		[sustain_release: 23] 280.718750 ms
		[sustain_release: 24] 237.531250 ms
		[sustain_release: 25] 194.343750 ms
		[sustain_release: 26] 151.156250 ms
		[sustain_release: 27] 129.562500 ms
		[sustain_release: 28] 107.968750 ms
		[sustain_release: 29] 86.375000 ms
		[sustain_release: 30] 64.781250 ms
		[sustain_release: 31] 43.187500 ms
	[decay: 1][sustain_level: 0] 557.343750 ms
		[sustain_release: 1] 16392.000000 ms
		[sustain_release: 2] 12296.000000 ms
		[sustain_release: 3] 10248.000000 ms
		[sustain_release: 4] 8200.000000 ms
		[sustain_release: 5] 6152.000000 ms
		[sustain_release: 6] 5128.000000 ms
		[sustain_release: 7] 4104.000000 ms
		[sustain_release: 8] 3080.000000 ms
		[sustain_release: 9] 2568.000000 ms
		[sustain_release: 10] 2056.000000 ms
		[sustain_release: 11] 1544.000000 ms
		[sustain_release: 12] 1288.000000 ms
		[sustain_release: 13] 1032.000000 ms
		[sustain_release: 14] 776.000000 ms
		[sustain_release: 15] 648.000000 ms
		[sustain_release: 16] 520.000000 ms
		[sustain_release: 17] 392.000000 ms
		[sustain_release: 18] 328.000000 ms
		[sustain_release: 19] 264.000000 ms
		[sustain_release: 20] 200.000000 ms
		[sustain_release: 21] 168.000000 ms
		[sustain_release: 22] 136.000000 ms
		[sustain_release: 23] 104.000000 ms
		[sustain_release: 24] 88.000000 ms
		[sustain_release: 25] 72.000000 ms
		[sustain_release: 26] 56.000000 ms
		[sustain_release: 27] 48.000000 ms
		[sustain_release: 28] 40.000000 ms
		[sustain_release: 29] 32.000000 ms
		[sustain_release: 30] 24.000000 ms
		[sustain_release: 31] 16.000000 ms
	[decay: 1][sustain_level: 1] 394.625000 ms
		[sustain_release: 1] 24523.968750 ms
		[sustain_release: 2] 18395.968750 ms
		[sustain_release: 3] 15331.968750 ms
		[sustain_release: 4] 12267.968750 ms
		[sustain_release: 5] 9203.968750 ms
		[sustain_release: 6] 7671.968750 ms
		[sustain_release: 7] 6139.968750 ms
